Term,Merriam Webster,Oxford Dictionary,Brave New Words
mutant,1903,early 20th century: from Latin mutant- ‘changing’,1938
mutation,14th century,late Middle English: from Latin mutatio(n-),1941
mutie,X,X,1941
nanite,X,1990s; earliest use found in Cinefantastique. From nano- + -ite,1990
nanobot,1989,X,1991
Nebula,1718,mid 17th century (as a medical term): from Latin,1966
needle,before 12th century,Old English nǣdl,1943
needle beam,X,X,1920
needle gun,X,X,1941
needler,circa 1715,X,1937
neo,X,X,1956
neofan,X,X,1950
Neptunian,before 12th century,X,1870
neural,circa 1847,mid 19th century: from Greek neuron in the sense ‘nerve’ + -al,1955
neuronic,1891,X,1950
newspeak,1949,1949: the name of an artificial official language in George Orwell's Nineteen Eighty-Four,1949
newszine,X,X,1950
New Wave,X,X,1961
non-genre,X,X,1975
nonhumanoid,X,X,1953
nontelepath,X,X,1937
non-terrestrial,X,X,1932
normal space,X,X,1940
nova,1927,late 19th century: from Latin,1950
nova bomb,X,X,1953
novum,X,X,1972
null-g,X,X,1956
null-grav,X,X,1956
ob,X,X,1951
off-earth,X,X,1949
off-planet,X,X,1960
off-trail,X,X,1938
off-world,X,X,1950
offworlder,X,X,1957
oldspeak,X,1949: from George Orwell's Nineteen Eighty-Four (see newspeak),1949
on-planet,X,X,1953
on-world,before 12th century,X,1989
orbital,1932,mid 16th century (referring to the eye socket): probably from medieval Latin orbitalis,1986
organlegger,X,X,1967
other-dimensional,X,X,1934
outplanet,X,X,1955
outsystem,X,X,1957
outworld,before 12th century,X,1934
outworlder,X,X,1934
overdrive,1926,X,1945
overmind,X,X,1953
pangalactic,X,X,1977
pantropy,X,X,1952
parahuman,X,1930s. From para- + human. Compare earlier superhuman [noun,1944
parallel universe,X,X,1923
parallel world,X,1930s,1931
parking orbit,X,1950s; earliest use found in Robert A. Heinlein (1907–1988),1953
passifan,X,X,1944
personalzine,X,X,1975
perzine,X,X,1975
phaser,X,X,1966
plane,1604,"early 17th century: from Latin planum ‘flat surface’, neuter of the adjective planus ‘plain’. The adjective was suggested by French plan(e) ‘flat’. The word was introduced to differentiate the geometrical senses, previously expressed by plain, from the latter's other meanings",1919
planetary engineering,X,1930s,1932
planetary romance,X,X,1978
planet-bound,X,X,1944
planet-buster,X,X,1950
planeteer,X,X,1927
planetfall,X,1940s: from planet + -fall,1944
planet-killer,X,X,1959
planetographer,X,X,1937
planetography,X,mid 18th century; earliest use found in Benjamin Martin (bap. 1705,1955
planetscape,X,X,1990
planetside,X,X,1955
planet-smasher,X,X,1947
planet-wide,1920,X,1934
planet-wrecker,X,X,1946
plasteel,X,1970s: blend of plastic and steel,1956
plastiskin,X,X,1953
Plutonian,1604,X,1931
pocket universe,X,X,1946
pod person,X,"1970s; earliest use found in The Washington Post. From pod + person, with allusion to the ‘seed pods’ in Jack Finney's novel The Body Snatchers, or any of several film adaptations based on this, in which the pods replicate and replace the population of a town",1955
positronic,X,1940s; earliest use found in Isaac Asimov (1920–1992),1941
post-apocalypse,1956,X,1970
post-apocalyptic,1956,X,1978
post-catastrophe,X,X,1977
post-cyberpunk,X,X,1990
post-holocaust,1968,X,1977
posthuman,X,X,1936
posthumanism,X,1970s. From post-human + -ism. Compare earlier post-humanism,1985
posthumanist,X,X,1985
posthumanity,X,X,1985
precog,X,1950s; earliest use found in Philip K. Dick (1928–1982),1948
pre-space,X,X,1949
prespaceflight,X,X,1972
pressor,circa 1890,X,1931
pressor beam,X,X,1931
pressure suit,X,X,1928
prime directive,X,1940s; earliest use found in The Washington Post,1947
probability world,X,X,1943
prodom,X,X,1953
promag,X,X,1939
proto-cyberpunk,X,X,1991
proto-science fiction,X,X,1962
prozine,X,1940s; earliest use found in Planet Stories. From pro + -zine,1942
pseudo-grav,X,X,1955
pseudo-gravity,X,X,1941
pseudo-science,1796,X,1927
pseudo-scientific,1796,X,1880
psionic,X,1950s: from psi,1951
psionically,X,X,1968
psionics,X,1950s. From psionic: see -ic,1952
pub,1800,mid 19th century: abbreviation of public house,1951
pulp science fiction,X,X,1948
raise,13th century,Middle English: from Old Norse reisa; related to the verb rear,1929
ramscoop,X,X,1966
ray,14th century,Middle English: from Old French rai,1930
ray gun,X,X,1916
ray projector,X,X,1930
reaction drive,X,1940s,1949
redshirt,1955,X,1985
relaxacon relaxicon,X,X,1957
replicant,X,from replica + -ant: first used in the film Blade Runner (1982),1981
rim world,X,X,1957
robo-,X,X,1945
robot,1922,"1920s: from Czech, from robota ‘forced labour’. The term was coined in K. Čapek's play R.U.R ‘Rossum's Universal Robots’ (1920)",1920
robotic,1928,X,1941
roboticist,1941,X,1940
robotics,1941,X,1941
rocketeer,1832,X,1941
rocketman,X,X,1931
round robin,X,X,1944
sapience,14th century,X,1962
sapient,15th century,late Middle English: from Old French,1962
Saturnian,1557,X,1738
science fantasy,X,X,1935
science fiction,X,X,1851
science-fictional,1851,X,1935
science-fictionality,X,X,1996
science-fictionally,X,X,1936
science fictioneer,X,X,1940
science fictioner,X,X,1953
science fictionist,X,X,1936
science-fictiony,X,X,1962
science story,X,X,1930
scienti-,X,X,1934
scientifantasy,X,X,1936
scientific fantasy,X,X,1888
scientific fiction,X,X,1876
scientific romance,X,"late 18th century; earliest use found in Isaac D'Israeli (1766–1848), writer",1855
scientifiction,X,early 20th century: blend of scientific and fiction,1916
scientifictional,X,X,1929
scientifictionist,X,X,1933
scientifilm,X,X,1934
sci-fi,1954,X,1949
sci-fic,X,X,1939
seetee,X,X,1943
Selenite,15th century,mid 17th century: via Latin from Greek selēnitēs lithos ‘moonstone’,1645
semi-prozine,X,X,1975
sense of wonder,X,X,1935
sentience,1839,X,1947
sentient,1632,early 17th century: from Latin sentient- ‘feeling’,1930
sercon,X,X,1952
SF,X,X,1929
SF/F/H,X,X,1991
SF-ish,X,X,1976
SFnal,X,X,1981
sharecrop,circa 1930,X,1989
sharecropper,1923,X,1987
sharecropping,circa 1930,X,1987
shared world,X,X,1985
shield,before 12th century,Old English scild (noun),1930
ship,before 12th century,Old English scip (noun),1894
shipper,1755,late Old English scipere ‘sailor’. Current senses date from the mid 18th century,1996
shuttle,14th century,Old English scytel ‘dart,1940
shuttlecraft,X,X,1967
shuttleport,X,X,1973
singularity,14th century,Middle English: from Old French singularite,1958
skiffy,X,X,1982
skimmer,14th century,Middle English: from Old French escumoir,1949
skinsuit,X,1950s; earliest use found in The Chicago Sunday Tribune,1971
slan,X,X,1940
slan shack,X,X,1944
slash,1548,late Middle English: perhaps imitative,1984
sleeper ship,X,X,1968
slidewalk,X,X,1944
slideway,1851,X,1942
slipstream,1913,X,1989
slower-than-light,X,X,1953
slugthrower,X,X,1965
smeg,X,1980s: origin uncertain,1988
smegging,X,X,1988
smeggy,X,X,1988
smeghead,X,1980s,1988
smof,X,X,1968
SMOF,X,X,1965
soft science fiction,X,X,1977
Sol,14th century,X,1929
Sol III,X,X,1941
Solarian,X,X,1930
solido,X,X,1956
solidograph,X,X,1948
Sol-type,X,X,1950
soma,1827,late 19th century: from Greek sōma ‘body’,1932
somewhen,1833,X,1941
sophont,X,X,1966
space,14th century,Middle English: shortening of Old French espace,1947
space ark,X,X,1948
space armor,X,X,1933
spaceboat,X,X,1934
spaceboot,X,X,1945
space-borne,X,X,1950
space-burned,X,X,1942
space cadet,X,X,1948
space can,X,X,1948
space car,X,X,1928
space colony,X,1930s,1949
spacecraft,1929,X,1930
space cruiser,X,X,1930
space dock,X,X,1945
space dog,X,X,1940
space drive,X,X,1932
space elevator,X,1970s; earliest use found in Arthur C. Clarke (1917–2008),1975
spacefarer,X,X,1939
spacefaring,1952,X,1952
space fiction,X,1950s; earliest use found in Space Science Fiction,1948
spacefield,X,X,1939
space fleet,X,1930s,1931
space flier,X,X,1931
space flight,X,X,1931
space flyer,X,early 20th century; earliest use found in Modern Electrics,1911
space flying,X,X,1927
space force,X,X,1940
space freighter,X,X,1940
space-going,X,X,1946
spacehand,X,X,1938
space helmet,X,1930s,1931
spacehound,X,X,1931
space lane,X,X,1928
spaceline,X,X,1930
spaceliner,X,X,1931
spacelock,X,X,1930
spaceman,1932,X,1933
spacemanship,X,X,1932
space marine,X,X,1955
space navigator,X,X,1930
space opera,X,X,1941
space operatic,X,X,1953
space patrol,X,X,1936
space person,X,X,1952
space pirate,X,X,1933
spaceport,1930,X,1930
spacer,1857,X,1940
spaceship,1880,X,1894
space-sick,X,X,1911
space-sickness,X,early 20th century,1911
spacesuit,1929,X,1929
space tan,X,X,1942
space-tanned,X,X,1942
space travel,X,X,1929
space traveler,X,X,1929
space-traveling,X,X,1930
space tug,X,X,1942
space vehicle,X,X,1930
space vessel,X,X,1929
spaceward,1872,late 19th century; earliest use found in Scribner's Monthly. From space + -ward,1939
space warp,X,X,1935
spaceways,X,X,1933
spacewoman,X,X,1951
spaceworthiness,X,X,1934
spaceworthy,X,1930s. From space + -worthy,1931
space yacht,X,X,1940
spaceyard,X,X,1948
spec fic,X,X,1980
speculative fiction,X,X,1889
spinward,X,X,1970
spy ray,X,X,1934
Standard,12th century,Middle English (denoting a flag raised on a pole as a rallying point,1965
starbase,X,1940s,1944
star-cruiser,X,X,1964
star drive,X,X,1948
starfarer,X,X,1970
starfaring,X,X,1960
starfleet,X,X,1968
star flight,X,X,1944
stargate,X,X,1958
starlanes,X,X,1949
starliner,X,X,1965
starman,X,X,1932
star-person,X,X,1932
starport,X,X,1950
starship,1882,X,1934
star travel,X,X,1946
star traveler,X,X,1957
star voyaging,X,X,1951
star wars,X,from the title of the popular science fiction film Star Wars (1977),1982
starways,X,X,1936
stasis field,X,X,1942
steampunk,1987,X,1987
stefnist,X,X,1944
Stepford,X,from The Stepford Wives,1981
stf,X,1930s; earliest use found in Wonder Stories,1931
stf-,X,1930s; earliest use found in Wonder Stories,1940
stfan,X,X,1940
stfantasy,X,X,1944
stfdom,X,X,1947
stfnal,X,X,1944
stim,X,X,1967
stun gun,X,X,1946
stunner,1829,X,1941
Sturgeon's Law,X,1960s. From the genitive of the name of Theodore H. Sturgeon,1957
sub-ether,X,X,1930
sub-etheric,X,X,1946
subfandom,X,X,1969
subjunctivity,X,mid 19th century. From subjunctive + -ity,1969
sublight,X,X,1966
subspace,1907,X,1940
suit,14th century,Middle English: from Anglo-Norman French siwte,1928
suit radio,X,X,1944
supernormal,1834,X,1936
super-science,X,X,1929
super-scientific,X,X,1919
super-scientist,X,X,1928
super-weapon,1914,X,1939
system-wide,X,X,1943
tanstaafl,X,X,1949
